序号,处罚时间,赛事,球队,受罚,对象,行为,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
1,2019.2.28,闽南杯足球冠军赛,泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
2,2019.2.28,闽南杯足球冠军赛,泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,6月,500,17 56,10,
3,2019.2.28,闽南杯足球冠军赛,泉州青工队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
4,2019.2.28,闽南杯足球冠军赛,泉州青工队,官员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
5,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,12月,500,17 56,10,
6,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
7,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
8,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,6月,500,17 56,10,
9,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,运动员,运动员 官员,打架 辱骂,3 8,18月,1000,17 56,10,
10,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,官员,运动员 官员,打架 辱骂,3 8,24月,1000,17 56,10,
11,2019.2.28,闽南杯足球冠军赛,泉州青工队,俱乐部,运动员 官员,多人群殴,3 8,12月,5000,17 56,10,
12,2019.2.28,闽南杯足球冠军赛,厦门联创世纪队,俱乐部,运动员 官员,多人群殴,3 8,12月,5000,17 56,10,
13,2019.2.28,,大连超越队,俱乐部,,欠薪,,取消注册资格,,,,特
14,2019.2.28,,上海申梵队,俱乐部,,欠薪,,取消注册资格,,,,特
15,2019.2.28,,深圳人人队,俱乐部,,欠薪,,取消注册资格,,,,特
16,2019.2.28,,海南博盈队,俱乐部,,欠薪,,取消注册资格,,,,特
17,2019.3.7,中超联赛,上海绿地申花队,运动员,运动员,肘击,53 48,5,50000,17 112,6,
18,2019.3.7,中超联赛,上海绿地申花队,运动员,运动员,手击,53 48,4,40000,17 112,6,
19,2019.3.7,全国青少年足球超级联赛U19A组,新疆天山雪豹U19队,运动员,运动员,脚踢,53 108,4,,112,3,
20,2019.4.3,全国青少年足球超级联赛U19A组,天津天海U19队,官员,裁判员,辱骂,48 54 108,6,,112,8,
21,2019.4.3,全国青少年足球超级联赛U19B组,重庆斯威U19队,运动员,运动员,打架 情节恶劣,48 53 56 108,14,,112,5,
22,2019.4.3,全国青少年足球超级联赛U19B组,重庆斯威U19队,运动员,运动员,打架 情节恶劣,48 53 56 108,10,,112,5,
23,2019.4.3,全国青少年足球超级联赛U19B组,重庆斯威U19队,运动员,运动员,打架 情节恶劣,48 53 56 108,12,,112,5,
24,2019.4.3,全国青少年足球超级联赛U19B组,重庆斯威U19队,运动员,运动员,报复性动作蹬踹,48 53 56 108,7,,112,5,
25,2019.4.3,全国青少年足球超级联赛U19B组,浙江毅腾U19队,运动员,运动员,打架 情节恶劣,48 56 108,14,,112,5,
26,2019.4.3,全国青少年足球超级联赛U19B组,浙江毅腾U19队,运动员,运动员,打架 情节恶劣,48 56 108,12,,112,5,
27,2019.4.3,全国青少年足球超级联赛U19B组,重庆当代力帆队,俱乐部,运动员,打架 情节恶劣,58,通报批评,150000,17,5,
28,2019.4.3,全国青少年足球超级联赛U19B组,浙江毅腾队,俱乐部,运动员,打架 情节恶劣,58,通报批评,150000,17,5,
29,2019.4.3,全国青少年足球超级联赛U19B组,赛区,重庆赛区,,管理不力,90,通报批评,,,5,
30,2019.4.3,中超联赛,武汉卓尔职业队,运动员,运动员,故意用球踢人,53 48,5,50000,17 112,3,
31,2019.4.3,中超联赛,深圳市佳兆业队,运动员,运动员,故意踢蹬,53 48,5,50000,17 112,3,
32,2019.4.3,中甲联赛,赛区,四川都江堰赛区,裁判员,观众抛物,91,通报批评,50000,17,4,
33,2019.4.3,中甲预备队联赛,南通支云队,运动员,裁判员,辱骂,54 48,6,60000,17 112,1,
34,2019.4.10,U19,中国U19国家男子足球队,运动员,,违规违纪,,缩减处罚期限5月,,,,特
35,2019.4.19,中国足球协会室内五人制甲级联赛,上海上汽同济大学足球队,官员,比赛官员,辱骂,54 48 108,6,12000,17 112,17,
36,2019.4.19,中国足协杯,青岛中青英联队,运动员,裁判员,威胁,54 70 48 108,6,,,,
37,2019.4.19,中国足协杯,青岛中青英联队,运动员,比赛官员,指责 辱骂,54 70 48 108,7,,112,19,
38,2019.4.19,中甲联赛,内蒙古中优呼和浩特队,运动员,运动员,蹬踏 头撞,53 48,6,60000,17 112,6,
39,2019.4.19,中超联赛,大连一方队,运动员,运动员,推击,53 48,6,60000,17 112,5,
40,2019.4.26,中甲联赛,广东华南虎梅县铁汉生态队,运动员,官员,辱骂,53 48,4,40000,17 112,6,
41,2019.4.26,中甲联赛,长春亚泰队,运动员,运动员,手掐,53 48,5,50000,17 112,6,
42,2019.4.26,中甲联赛,广东华南虎梅县铁汉生态队,俱乐部,,多人争执,58,通报批评,,,6,
43,2019.4.26,中甲联赛,长春亚泰队,俱乐部,,多人争执,58,通报批评,,,6,
44,2019.4.30,中甲联赛,上海申鑫队,官员,媒体,不负责评论,82,1,10000,17,3,
45,2019.4.30,中甲预备队联赛,新疆天山雪豹预备队,官员,运动员,故意用球踢人,53 48,5,50000,17 112,2,
46,2019.5.7,中国足协杯,河北华夏幸福队,运动员,运动员,肘击,53,3,30000,17,6,
47,2019.5.7,中甲联赛,北京北体大队,运动员,运动员,推击,53,3,30000,17 112,3,
48,2019.5.24,全国青少年足球超级联赛U19B组,成都棠湖外国语学校U19队,官员,裁判员,进入场内指责,48 54 108,6,,112,7,
49,2019.5.29,中甲联赛,南通支云队,官员,运动员,推击,53 48,6,60000,17 112,4,
50,2019.5.29,中甲联赛,四川隆发队,官员,官员,辱骂,53 48,3,30000,17 112,4,
51,2019.5.29,中甲联赛,长春亚泰队,官员,裁判员,指责,54 48,6,60000,17 112,3,
52,2019.5.29,中甲联赛,长春亚泰队,官员,裁判员,指责,54 48,6,60000,17 112,3,
53,2019.6.11,中超预备队联赛,山东鲁能泰山队,运动员,运动员,推击,53 48,5,50000,17 112,9,
54,2019.6.11,全国青少年足球超级联赛U19A组,天津天海U19队,官员,裁判员,侮辱性辱骂,54 48 108,8,,112,11,
55,2019.6.11,中国足球协会杯男子U17组,北京北体大U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
56,2019.6.11,中国足球协会杯男子U17组,北京北体大U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
57,2019.6.11,中国足球协会杯男子U17组,北京北体大U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
58,2019.6.11,中国足球协会杯男子U17组,北京北体大U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
59,2019.6.11,中国足球协会杯男子U17组,北京北体大U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
60,2019.6.11,中国足球协会杯男子U17组,北京北体大U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
61,2019.6.11,中国足球协会杯男子U17组,青岛中能U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
62,2019.6.11,中国足球协会杯男子U17组,青岛中能U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
63,2019.6.11,中国足球协会杯男子U17组,青岛中能U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
64,2019.6.11,中国足球协会杯男子U17组,青岛中能U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
65,2019.6.11,中国足球协会杯男子U17组,青岛中能U17队,运动员,运动员,打架 斗殴 情节恶劣,56 48 108,6月+20天,,,14,
66,2019.6.11,中国足球协会杯男子U17组,北京北体大U17队,俱乐部,运动员,多人打架斗殴 情节恶劣,56 48 32,通报批评,300000,17,14,
67,2019.6.11,中国足球协会杯男子U17组,青岛中能U17队,俱乐部,运动员,多人打架斗殴 情节恶劣,56 48 32,通报批评,300000,17,14,
68,2019.6.20,中国足球协会杯男子U14组,北京北体大U14队,官员,裁判员,赛后冲入比赛场内语言威胁,70 48 108,6,,17,11,
69,2019.6.20,中甲联赛,广东梅州客家队,运动员,裁判员,辱骂,54,6,60000,17 112,5,
70,2019.6.21,中甲联赛,赛区,贵州赛区,,观众燃放冷烟火,87,警告,,,5,
71,2019.7.4,中超联赛,山东鲁能泰山队,运动员,运动员,肘击,53,3,30000,17 112,12,
72,2019.7.4,中超联赛,赛区,武汉赛区,,观众向场内投掷矿泉水瓶,90,通报批评,,,11,
73,2019.7.12,全国青少年足球超级联赛U19B组,深圳市U19队,运动员,裁判员,赛后和裁判组进行握手礼时多次辱骂,54 48 108,8,,112,7,
74,2019.7.12,中甲联赛,赛区,黑龙江赛区,,观众出现不文明标语,89,通报批评,20000,112,6,
75,2019.7.12,中甲联赛,南通支云队,官员,,赛中进场,55 48 58,4月,50000,17,6,
76,2019.7.12,中甲联赛,南通支云队,俱乐部,,多名球员和官员引起比赛混乱,55 48 58,通报批评,400000,17,6,
77,2019.7.12,西安市八人制足球（春季）联赛,中林建设队,运动员,运动员,故意蹬踹,3 8,12月,,,25,
78,2019.7.17,成都市足球协会成都城市超级联赛,成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
79,2019.7.17,成都市足球协会成都城市超级联赛,成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
80,2019.7.17,成都市足球协会成都城市超级联赛,成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
81,2019.7.17,成都市足球协会成都城市超级联赛,成都胜利十一人队,运动员,裁判员,辱骂 群殴,3 8,终身,,,12,
82,2019.7.17,成都市足球协会成都城市超级联赛,成都胜利十一人队,运动员,裁判员,辱骂 恐吓,3 8,12月,,,12,
83,2019.7.19,中超联赛,江苏苏宁苏宁易购队,运动员,运动员,蹬踹 造成严重社会影响,53 48,6,60000,17 112,6,
84,2019.7.19,中超联赛,江苏苏宁苏宁易购队,运动员,运动员,故意用球踢人,53,3,30000,17 112,6,
85,2019.7.19,全国青少年足球超级联赛U19B组,延边足协U19队,运动员,运动员,推击,54 48 108,4,,112,7,
86,2019.7.19,全国青少年足球超级联赛U19B组,内蒙古中优U19队,运动员,运动员,击打,54 48 108,5,,112,7,
87,2019.7.23,中超联赛,江苏苏宁苏宁易购队,运动员,运动员,蹬踹（无球状态下）,53 48,5,50000,17 112,6,
88,2019.7.31,中甲联赛,辽宁足球沈阳宏运队,运动员,运动员,故意脚踢,53 48,4,40000,17 112,4,
89,2019.7.31,全国青少年足球超级联赛U19A组,河南建业U19队,运动员,运动员,击打,54 48 108,4,,112,5,
90,2019.8.9,中超联赛,武汉卓尔职业队,官员,裁判员,干扰比赛,55 62,2,20000,17,7,
91,2019.8.9,中超联赛,武汉卓尔职业队,俱乐部,,,55 62,通报批评,200000,17,7,
92,2019.8.9,中甲联赛,贵州恒丰队,官员,裁判员,侮辱性辱骂,54 48,6,60000,17 112,5,
93,2019.9.3,中超联赛,广州富力队,运动员,裁判员,侮辱性语言,54 48,6,60000,17 112,20,
94,2019.9.3,中甲联赛,浙江绿城队,运动员,运动员,脚蹬（无球状态下）,53 48,5,50000,17 112,10,
95,2019.9.10,中甲预备队联赛,上海申鑫队,运动员,同队运动员,击打,53,4,40000,17 112,9,
96,2019.9.10,中甲预备队联赛,上海申鑫队,运动员,同队运动员,击打,53,4,40000,17 112,9,
97,2019.9.20,U22,中国U22国家男子足球队,运动员,,不良行为 不当言论,,6月,,,12,特
98,2019.9.20,中甲联赛,内蒙古中优呼和浩特队,运动员,裁判员,赛后，使用语言侮辱,54 48,6,60000,17,6,
99,2019.9.20,中甲联赛,内蒙古中优呼和浩特队,运动员,裁判员,赛后，使用语言侮辱,54 48,6,60000,17,6,
100,2019.9.20,中甲联赛,内蒙古中优呼和浩特队,俱乐部,裁判员,赛后多人围堵,58,通报批评,200000,,6,
101,2019.9.20,中超联赛,大连一方队,运动员,运动员,用球踢人,53 48,4,40000,17 112,5,
102,2019.9.20,中乙联赛,保定英利易通队,俱乐部,,未执行中足协仲裁委员会的调解书,79,扣联赛6积分,,,,
103,2019.9.21,中超联赛,天津天海队,运动员,,涉嫌醉驾,,,,,1,特
104,2019.9.21,中超联赛,天津天海队,俱乐部,,过去两年球员多次醉驾,,通报批评,,,1,特
105,2019.9.27,中超联赛,天津天海队,运动员,,醉驾,,12月,,,1,特
106,2019.10.24,全国青少年足球超级联赛U19A组,上海申鑫U19队,运动员,裁判员,辱骂,54 108,6,,112,17,
107,2019.10.24,女甲联赛,河北精英队,官员,裁判员,辱骂,48 54 108,7,,112,18,
108,2019.10.24,中乙联赛,大连千兆队,官员,裁判员,辱骂,48 54 108,7,14000,17 112,19,
109,2019.10.24,中乙联赛,大连千兆队,运动员,裁判员,辱骂,54 108,6,12000,17 112,13,
110,2019.10.24,中乙联赛,成都兴城队,运动员,运动员,脚踢,53 108,3,6000,17 112,11,
111,2019.10.24,中乙联赛,四川优必选队,运动员,运动员,推击,53 108,3,6000,17 112,12,
112,2019.10.24,中乙联赛,淄博蹴鞠队,运动员,运动员,推击,53 108,3,6000,17 112,12,
113,2019.11.5,中国足球协会杯男子U19组,天津泰达U19队,运动员,运动员,故意踩踏 头撞,53 48 108,10,,112,11,
114,2019.11.5,中超联赛,广州富力队,官员,媒体,不负责评论,82,3,30000,17,10,
115,2018.1.30,中超联赛,天津权健队,运动员,,弄虚作假,68,9月,,,130,
116,2018.1.30,2018中国足协杯资格赛决赛,大连瑞恒队,运动员,运动员,踢踹,56 102,4,,,25,
117,2018.1.30,2018中国足协杯资格赛决赛,大连瑞恒队,官员,裁判员,指责 辱骂,56 47 102,8,,,23,
118,2018.1.30,2018中国足协杯资格赛决赛,重庆劲浪队,运动员,运动员,企图使用过分力量击打,56 102,3,,,24,
119,2018.1.30,2018中国足协杯资格赛决赛,杭州吴越钱唐队,官员,裁判员,冲入场内 指责 辱骂,56 47 102,4,,,24,
120,2018.2.11,中乙联赛,安徽合肥桂冠队,运动员,,弄虚作假,68 39,5月,,,16,
121,2018.3.21,中超联赛,天津泰达队,官员,裁判员,非体育道德行为,54 47,5,35000,,10,
122,2018.3.21,中超预备队联赛,天津权健队,运动员,运动员,过分力量推打,54,4,28000,,2,
123,2018.3.21,中甲联赛,辽宁沈阳开新队,运动员,运动员,踩踏,54,4,28000,,4,
124,2018.3.21,中国足协杯,大连统顺队,官员,裁判员,辱骂,54 47 100,6,12000,,3,
125,2018.3.21,中国足协杯,大连统顺队,运动员,球迷,辱骂 侮辱性手势,54 100,8,16000,,3,
126,2018.3.21,中国足协杯,大连统顺队,运动员,球迷,辱骂,54 49 100,6,12000,,3,
127,2018.3.21,中国足协杯,大连统顺队,俱乐部,,未安排主教练参加赛前新闻发布会,66,通报批评,10000,,3,特
128,2018.3.21,中足协室内五人制超级联赛,深圳南岭铁狼队,官员,裁判员,辱骂,54 47 100,6,12000,,9,
129,2018.3.21,中足协室内五人制超级联赛,青岛辰希队,运动员,运动员,辱骂 手掐,54 100,6,12000,,12,
130,2018.3.29,中国足协杯,淄博星期天队,官员,裁判员,指责,54 47 100,4,20000,,4,
131,2018.3.29,中国足协杯,赛区,湖南益阳赛区,,观众燃放冷烟火,79,通报批评,10000,,5,
132,2018.4.10,中超联赛,广州恒大淘宝队,运动员,运动员,肘击,54 49,8,56000,,11,
133,2018.4.10,中超预备队联赛,河南建业队,运动员,运动员,辱骂,54,4,28000,,9,
134,2018.4.10,中超联赛,贵州恒丰队,俱乐部,,未按规定时间结束赛前热身并退场,66,通报批评,20000,,9,并
135,2018.4.10,中甲联赛,延边富德队,俱乐部,,未按规定时间结束赛前热身并退场,66,通报批评,20000,,9,并
136,2018.4.10,中甲联赛,内蒙古中优呼和浩特队,俱乐部,,未按规定时间结束赛前热身并退场,66,通报批评,20000,,9,并
137,2018.4.12,中超联赛,上海绿地申花队,俱乐部,,未按规定时间入场，导致开球延误,66,通报批评,20000,17,4,并
138,2018.4.12,中超联赛,长春亚泰队,官员,裁判员,指责,54 47,4,28000,17,5,
139,2018.4.12,中超预备队联赛,广州恒大淘宝队,运动员,同队运动员,打架,54 49,10月,20000,17,3,
140,2018.4.12,中超预备队联赛,广州恒大淘宝队,运动员,同队运动员,打架,54 49,10月,20000,17,3,
141,2018.4.12,中甲联赛,辽宁沈阳宏运队,官员,裁判员,指责 辱骂,54 47 49,7,49000,17,4,
142,2018.4.12,中甲联赛,辽宁沈阳宏运队,运动员,观众 器材,辱骂 蹬踹替补席,54 104,5,35000,17,4,
143,2018.4.12,中甲联赛,辽宁沈阳宏运队,俱乐部,,管理不善，多名球员、官员多次引起赛场混乱,58,通报批评,150000,17,4,
144,2018.4.12,中甲联赛,青岛黄海队,俱乐部,,管理不善，多名球员、官员多次引起赛场混乱,58,通报批评,150000,17,4,
145,2018.4.12,中甲联赛,赛区,青岛赛区,,观众向场内投掷杂物,82,通报批评,,,4,
146,2018.4.19,中甲联赛,延边富德队,运动员,运动员,踩踏,54 49,10,70000,17,4,
147,2018.4.19,全国青少年男子足球超级联赛U19B组,北京控股队,官员,器材,将矿泉水瓶踢入场内,55 100,2,10000,17,6,
148,2018.4.19,中国足协杯,赛区,河北保定赛区,,管理不善，工作不利,86,警告,,,9,
149,2018.4.19,嘉兴市超级联赛,嘉兴振华队,官员,运动员 官员,打架 斗殴,3 6 8,36月,,,18,
150,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
151,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
152,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
153,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
154,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
155,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,5,,,18,
156,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,3,,,18,
157,2018.4.19,嘉兴市超级联赛,嘉兴振华队,运动员,运动员 官员,打架 斗殴,3 6 8,3,,,18,
158,2018.4.19,嘉兴市超级联赛,海宁慕容队,官员,运动员 官员,打架 斗殴,3 6 8,36月,,,18,
159,2018.4.19,嘉兴市超级联赛,海宁慕容队,运动员,运动员 官员,打架 斗殴,3 6 8,36月,,,18,
160,2018.4.19,嘉兴市超级联赛,海宁慕容队,官员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
161,2018.4.19,嘉兴市超级联赛,海宁慕容队,官员,运动员 官员,打架 斗殴,3 6 8,12月,,,18,
162,2018.4.19,嘉兴市超级联赛,嘉兴振华队,俱乐部,运动员 官员,多名官员、球员在场上打架、斗殴,3 6 8,12月,,,18,
163,2018.4.19,嘉兴市超级联赛,海宁慕容队,俱乐部,运动员 官员,多名官员、球员在场上打架、斗殴,3 6 8,12月,,,18,
164,2018.4.27,中甲联赛,大连超越队,官员,替补席人员,辱骂,54,5,35000,17,6,
165,2018.4.27,全国青少年男子足协杯赛U17组,上海绿地申花U17队,运动员,运动员 官员,打架,54 56 100,9,,违规违纪停赛细则,8,
