序号,处罚时间,赛事,球队,受罚,对象,行为,违纪条款,停赛时间、场次,罚款金额,罚款、停赛标准,用时,备注
166,2018.4.27,全国青少年男子足协杯赛U17组,上海绿地申花U17队,运动员,运动员 官员,打架 辱骂,54 56 100,8,,违规违纪停赛细则,8,
167,2018.4.27,全国青少年男子足协杯赛U17组,上海绿地申花U17队,俱乐部,运动员 官员,两名队员参与打架 一人辱骂对方球员,56 100,通报批评,100000,17,8,
168,2018.4.27,全国青少年男子足协杯赛U17组,新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,9,,违规违纪停赛细则,8,
169,2018.4.27,全国青少年男子足协杯赛U17组,新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,7,,违规违纪停赛细则,8,
170,2018.4.27,全国青少年男子足协杯赛U17组,新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,8,,违规违纪停赛细则,8,
171,2018.4.27,全国青少年男子足协杯赛U17组,新疆足球协会U17队,运动员,运动员 官员,不同程度参与打架,56 100,8,,违规违纪停赛细则,8,
172,2018.4.27,全国青少年男子足协杯赛U17组,新疆足球协会U17队,官员,运动员 官员,不同程度参与打架,56 100,7,,违规违纪停赛细则,8,
173,2018.4.27,全国青少年男子足协杯赛U17组,新疆足球协会U17队,俱乐部,运动员,多名球员、官员在场上不同程度参与打架,56 100,通报批评,200000,17,8,
174,2018.4.27,中国足协杯,辽宁沈阳宏运队,运动员,运动员,过分力量争抢球，危及对方球员安全,54,5,35000,17,3,
175,2018.4.27,中国足协杯,大连博阳千兆队,运动员,运动员,野蛮方式争抢球，危及对方球员的安全,54,8,40000,17,3,
176,2018.4.27,中国足协杯,上海绿地申花队,俱乐部,,未指派首发队员参加赛前新闻发布会,66,通报批评,20000,17,2,特
177,2018.5.4,全国青少年足球超级联赛“恒大杯”U19联赛,武汉卓尔职业队,官员,他人,赛中冲入场内，辱骂他人,54 100,5,25000,17,7,
178,2018.5.4,全国青少年足球超级联赛“恒大杯”U19联赛,内蒙古盛乐蒙羊队,官员,裁判员,赛中冲入场内，指责裁判员,54 47 100,4,,违规违纪停赛细则,7,
179,2018.5.4,全国青少年足球超级联赛“恒大杯”U19联赛,天津泰达队,运动员,裁判员,辱骂 情节较为严重,54 47 100,7,,违规违纪停赛细则,7,
180,2018.5.4,中国足协杯,天津泰达队,运动员,运动员,推倒（无球状态下两次）,54 49,7,49000,17,2,
181,2018.5.11,中超预备队联赛,上海上港队,运动员,裁判员,辱骂,54 47,6,42000,17,5,
182,2018.5.11,全国青少年足球超级联赛“恒大杯”U19联赛,延边富德队,官员,器材,踢矿泉水瓶,55 49 100,3,15000,17,4,
183,2018.5.11,全国青少年足球超级联赛“恒大杯”U19联赛,延边富德队,运动员,运动员,蹬踹,54 100,4,,违规违纪停赛细则,9,
184,2018.5.16,中甲联赛,青岛黄海队,运动员,运动员,肘击,54 49,6,42000,17,7,
185,2018.5.16,中甲联赛,浙江绿城队,运动员,运动员,非体育道德行为,54,3,21000,17,7,
186,2018.5.16,中甲联赛,青岛黄海队,运动员,运动员,非体育道德行为,54,3,21000,17,7,
187,2018.5.16,中甲联赛,梅州市梅县区铁汉铁汉生态队,运动员,运动员,脚踢（无球状态下）,54 49,8,56000,17,4,
188,2018.5.16,中超联赛,重庆当代力帆斯威队,官员,媒体,不负责评论,75,2,20000,17,4,
189,2018.5.16,全国青少年足球超级联赛“恒大杯”U19联赛,重庆当代力帆斯威U19队,运动员,裁判员,辱骂,54 47 100,6,,违规违纪停赛细则,5,
190,2018.5.16,中甲联赛,青岛黄海队,官员,裁判员,辱骂,28 54 49 47,8,56000,17,7,
191,2018.5.16,中甲联赛,青岛黄海队,俱乐部,裁判员,个别人员辱骂裁判员,54 49 47 57,通报批评,100000,17,7,
192,2018.5.16,中甲联赛,赛区,青岛黄海赛区,,赛后组织管理不利，安保人员提前撤离岗位,83,通报批评,20000,17,7,特
193,2018.5.24,全国青少年足球超级联赛“恒大杯”U19联赛,江苏苏宁苏宁易购U19队,运动员,运动员,踩踏,54 49 100,6月,,违规违纪停赛细则,6,
194,2018.5.24,全国青少年足球超级联赛“恒大杯”U19联赛,江苏苏宁苏宁易购U19队,俱乐部,运动员,多名球员引起赛场混乱,58,通报批评,100000,17,6,
195,2018.5.24,全国青少年足球超级联赛“恒大杯”U19联赛,贵州恒丰U19队,俱乐部,运动员,多名球员引起赛场混乱,58,通报批评,100000,17,6,
196,2018.5.24,中超联赛,北京人和队,运动员,运动员,脚踢,54 49,5,35000,17,4,
197,2018.5.24,中超联赛,贵州恒丰队,官员,裁判员,辱骂,54 47 49,7,49000,17,4,
198,2018.5.24,中超联赛,广州富力队,官员,,非体育道德行为,54,3,21000,17,5,
199,2018.6.11,中国国家男子足球队,上海上港足球俱乐部,运动员,,与缅甸国家队比赛中，佩戴首饰参赛,,12月 通报批评,,,16,特
200,2018.7.11,全国青少年足球超级联赛“恒大杯”U19联赛,辽宁沈阳宏运U19队,运动员,运动员,辱骂,54 100,4,,违规违纪停赛细则,49,
201,2018.7.11,中甲联赛,上海申鑫队,运动员,运动员,踩踏,54 49,6,42000,17,46,
202,2018.7.11,中乙联赛,沈阳东进队,俱乐部,,欠薪,77 104,取消注册资格,,,,特
203,2018.7.11,中乙联赛,安徽合肥桂冠队,俱乐部,,欠薪,77 104,取消注册资格,,,,特
204,2018.7.25,中甲联赛,浙江毅腾轻纺城队,运动员,运动员,蹬踏,54 49,4,28000,17,7,
205,2018.7.25,中甲联赛,浙江毅腾轻纺城队,运动员,运动员,故意踩踏,54,6,42000,17,7,
206,2018.7.25,中超联赛,重庆当代力帆斯威队,俱乐部,,未按规定时间入场，导致下半场开球延误,66,通报批评,20000,17,4,
207,2018.7.31,中国足协杯,江苏苏宁苏宁易购队,运动员,裁判员,赛后握手礼过程中 辱骂,54 47,6,42000,17,6,
208,2018.8.10,中女甲联赛,陕西省大秦之水智诚队,官员,裁判员,指责 辱骂,54 47 49,10,20000,17,15,
209,2018.8.10,中超联赛,江苏苏宁苏宁易购队,俱乐部,,未指派首发队员参加赛前新闻发布会,66,通报批评,20000,17,13,特
210,2018.8.10,中甲联赛,内蒙古中优呼和浩特队,官员,裁判员,指责 辱骂,54 47 49,7,49000,17,13,
211,2018.8.10,中甲联赛,浙江绿城队,官员,器材,踢矿泉水瓶干扰比赛,55,2,14000,17,13,
212,2018.8.10,中超联赛,河南建业队,运动员,运动员,脚踢（无球状态下）,54 49,7,49000,17,9,
213,2018.8.10,全国青少年足球超级联赛U19A组,新疆天山雪豹雪豹纳欢U19队,运动员,运动员,蹬踹,54 49 100,6,,违规违纪停赛细则,16,
214,2018.8.10,全国青少年足球超级联赛U19A组,上海申鑫U19队,运动员,运动员,赛后指责 击打,54 100,6,,违规违纪停赛细则,15,
215,2018.8.10,全国青少年足球超级联赛U19A组,上海申鑫U19队,运动员,运动员,击打,54 100,5,,违规违纪停赛细则,15,
216,2018.8.10,全国青少年足球超级联赛U19A组,长春亚泰U19队,运动员,运动员,赛后击打,54 100,5,,违规违纪停赛细则,15,
217,2018.8.10,全国青少年足球超级联赛U19A组,长春亚泰U19队,运动员,运动员,赛后辱骂,54 100,4,,违规违纪停赛细则,15,
218,2018.8.10,中超联赛,大连一方足球俱乐部队,运动员,他人,向他人打手势,54,6,42000,17,5,
219,2018.8.10,中超联赛,长春亚泰足球俱乐部队,运动员,,干扰比赛正常秩序,55 49,6,42000,17,6,
220,2018.8.16,中超联赛,北京人和队,运动员,运动员,肘击（无球状态下）,54 49,8,56000,17,4,
221,2018.8.16,中超预备队联赛,上海绿地申花队,官员,裁判员,握手礼时进场 击打 辱骂,54 69 47 49,12月,20000,17,4,
222,2018.8.16,中甲联赛,青岛黄海队,官员,器材,赛后破坏赛区设施,104,警告,10000,17,5,
223,2018.8.27,中超联赛,重庆当代力帆队,运动员,运动员,侮辱性语言辱骂,54,4,28000,17,9,
224,2018.9.13,全国青少年足球超级联赛U19B组,青岛中能U19队,运动员,裁判员,侮辱性语言辱骂 情节严重,54 47 49 100,8,,违规违纪停赛细则,17,
225,2018.9.13,全国青少年足球超级联赛U19B组,内蒙古盛乐蒙羊U19队,运动员,裁判员,侮辱性语言辱骂 情节严重,54 47 49 100,7,,违规违纪停赛细则,22,
226,2018.9.13,中甲联赛,黑龙江火山鸣泉队,官员,裁判员,冲入场内指责 情节严重,54 47 49,7,49000,17,4,
227,2018.9.13,中甲联赛,黑龙江火山鸣泉队,俱乐部,运动员 官员,多名球员、官员引起赛场混乱 情节严重,58 49 12,通报批评,200000,17,4,
228,2018.9.13,中女超联赛,长春农商银行队,官员,裁判员,冲出替补席指责,54 47 49,5,10000,17,5,
229,2018.9.14,U19,中国U19国家男子足球队,运动员,,"国际比赛态度消极、行为散漫、
无视教练员要求，赛后擅自外出组织聚餐",,12月,,国家队管理细则,6,
230,2018.9.27,中超预备队联赛,北京人和队,运动员,,出非道德行为,54,5,35000,17,3,
231,2018.9.27,中超联赛,大连一方队,俱乐部,,未按规定时间入场，导致开球时间延误,66,通报批评,20000,17,5,
232,2018.9.27,中超联赛,贵州恒丰队,官员,裁判员,侮辱性语言辱骂,54 47 49,7,49000,17,5,
233,2018.10.3,中超联赛,贵州恒丰队,俱乐部,器材,替补席官员违规使用电子通讯设备,66,通报批评,40000,17,3,
234,2018.10.3,中超联赛,天津泰达队,运动员,运动员,报复性蹬踹,54,6,42000,17,3,
235,2018.10.3,中超联赛,河北华夏幸福队,运动员,裁判员,指责,54,5,35000,17,3,
236,2018.10.18,中乙联赛,赛区,青岛赛区,器材,观众向场内投掷矿泉水瓶,82,通报批评,,,12,
237,2018.10.18,中超联赛,上海上港队,官员,,非体育道德行为,54,3,21000,17,11,
238,2018.10.25,中超联赛,江苏苏宁苏宁易购队,俱乐部,,主教练未按规定接受主转播商的到达采访,66,通报批评,40000,17,4,
239,2018.10.25,中甲联赛,延边富德队,俱乐部,,引起赛场混乱并未按规定完成比赛仪式,58 49 67 12,通报批评,600000,17,5,
240,2018.10.25,全国青少年足球超级联赛U19B组,浙江绿城U19队,运动员,运动员,击打（无球状态下）,54 49 100,6,,违规违纪停赛细则,13,
241,2018.10.25,全国青少年足球超级联赛U19B组,武汉卓尔职业U19队,运动员,运动员,从替补席冲出，推搡,54 49 100,6,,违规违纪停赛细则,13,
242,2018.10.25,全国青少年足球超级联赛U19B组,恒大足球学校U19队,运动员,裁判员,侮辱性语言辱骂,54 47 49 100,7,,违规违纪停赛细则,7,
243,2018.10.25,全国女子足球U14秋季训练营,长春大众卓越U14队,官员,裁判员,辱骂 脚踹,54 47 49,6月,,违规违纪停赛细则,13,
244,2018.10.25,中乙联赛排位赛,赛区,宁夏吴忠赛区,,未安排救护车到达体育场，导致比赛推迟,104,通报批评,10000,17,12,
245,2018.10.25,中乙联赛,沈阳城市队,官员,裁判员,进场 辱骂,54 47 49 100,7,35000,17,12,
246,2018.10.25,中乙联赛,沈阳城市队,运动员,裁判员,推击,54 47 49 100,8,40000,17,12,
247,2018.10.30,中乙联赛,赛区,四川都江堰赛区,,观众燃放冷烟火,79,通报批评,30000,17,3,
248,2018.10.30,中超联赛,上海上港队,俱乐部,,未按规定时间入场，导致下半场开球延误,66,通报批评,40000,17,2,
249,2018.10.30,中超联赛,山东鲁能泰山队,运动员,,赛前奏唱国歌时，举止不庄重,104,1,,,2,
250,2018.11.9,中足协室内五人制超级联赛,内蒙古满洲里边城雪狼队,运动员,运动员 裁判员,"抢夺裁判员手中的黄牌并摔在地上
向对方球员吐唾沫并辱骂",54 47 49 100,12,24000,17,7,
251,2018.11.9,中国足协杯赛（女子）,长春农商银行队,官员,比赛官员,用球故意砸人 连续违纪,54 47 49 100,12月,120000,17,6,
252,2018.11.15,中超联赛,河南建业队,运动员,运动员 裁判员,"故意跨过对方球员身体，蹬踏球员
辱骂裁判员",54 47 49,10,70000,17,4,
,2017.3.8,中超联赛,赛区,广州赛区,,赛中赛后有观众投掷大量矿泉水瓶,17,通报批评,,,3,
,2017.5.4,中甲联赛,赛区,呼和浩特赛区,,球迷在看台燃放彩烟,87,通报批评,10000,17,5,
,2017.5.4,中超联赛,赛区,重庆赛区,,球迷在看台燃放冷烟火,87,通报批评,10000,17,5,
,2017.5.4,中国足协杯,赛区,呼和浩特赛区,,球迷在看台燃放冷烟火,87,通报批评,10000,17,2,
,2017.5.11,中国足协杯,赛区,江苏苏州赛区,,球迷在看台燃放冷烟火,87,通报批评,10000,17,9,
,2017.5.24,中超联赛,赛区,广州赛区,,观众向场内投掷杂物,18,警告,50000,17,5,
,2017.6.28,中超联赛,赛区,上海赛区,,"管理存在漏洞
导致赛场出现影响中国职业联赛形象及环境的情况发生",21 18,通报批评,30000,17,3,
,2017.7.4,中甲联赛,赛区,保定赛区,,"因赛区安保工作不到位
赛后多人围堵休息室，指责、谩骂裁判员。随后又发生多人殴打裁判员的恶性事件",21 19,无观众比赛 1场,50000,17,3,
,2017.7.12,中超联赛,赛区,江苏赛区,,安保检查存在漏洞，致使球迷携带违禁物品禁入体育场，并于赛后燃放,21 19,通报批评,,,4,
,2017.8.2,中超联赛,赛区,重庆赛区,,部分观众向场内投掷矿泉水瓶,17,通报批评,,,4,
,2017.8.8,中国足协杯,赛区,广州赛区,,球迷悬挂不文明条幅,10 16 21,口头警告,,,7,
,2017.8.23,中超预备队联赛,赛区,河北秦皇岛赛区,,有球迷向场内投掷冷烟火，造成比赛暂停,17,通报批评,,,3,
,2017.8.23,中乙联赛,赛区,内蒙古包头赛区,,管理工作不到位，赛后球迷退场时，双方部分球迷发生言语及肢体冲突,18,警告,10000,17,4,
,2017.9.6,中甲联赛,赛区,河北石家庄赛区,,个别观众向场内投掷矿泉水瓶,16,口头警告,,,4,
,2017.9.6,中甲联赛,赛区,大连赛区,,比赛结束后，部分观众向场内投掷大量杂物,17,通报批评,,,3,
,2017.9.19,中国足球协会 业余联赛总决赛,赛区,青海赛区,,比赛过程中及结束后，有观众燃放冷烟火,87 102,通报批评,,,3,
,2017.9.19,中国足球协会 业余联赛总决赛,赛区,合肥赛区,,赛后有观众在看台燃放冷焰火等违禁物品,87 102,通报批评,,,2,
,2017.10.11,中超联赛,赛区,北京赛区,,北京赛区比赛官员王晓刚与客队教练组成员产生言语冲突，北京赛区管理存在疏漏,12 105,12 105,,,19,
,2017.10.25,中甲联赛,赛区,云南丽江赛区,,赛区安保处置不当，与客队之间发生冲突，造成恶劣社会影响,12 105,12 105,100000,45 17,32,
,2017.12.16,中国足协杯,赛区,上海赛区,,赛区管理疏漏，个别观众冲入场内威胁裁判员,87,通报批评,,,20,
,2016.4.12,中超联赛,赛区,河北石家庄赛区,,有球迷在赛场内张挂侮辱性标语，叫喊侮辱性口号，及投掷杂物,84,口头警告,50000,17,3,
,2016.5.17,中超联赛,赛区,北京赛区,,赛中出现观众用激光笔照射运动员情况,16,口头警告,,,3,
,2016.5.24,中国足协杯,赛区,武汉赛区,,赛中组织管理混乱，安保工作不力，导致出现严重扰乱赛区秩序和安全的事件，有球迷燃放冷烟火，向场内大量投掷水瓶,83 84,警告,100000,17,13,
,2016.5.24,中国足协杯,赛区,武汉赛区,足球字[2016]207,"赛中出现严重赛场骚乱情况，场内发生球队官员运动员，殴打他人情况，安保组织松散无力
有球迷燃放冷烟火，向场内大量投掷水瓶",,通报批评,,,13,
,2016.6.14,中超联赛,赛区,河南赛区,,赛中少数观众投掷矿泉水瓶,16,口头警告,,,3,
,2016.6.14,中超联赛,赛区,上海赛区,,赛中少数观众投掷矿泉水瓶，赛后有观众围堵主客队出口外通道,17,通报批评,,,3,
,2016.6.30,中甲联赛,赛区,贵州赛区,,赛后观众向场内投掷矿泉水瓶,16,口头警告,,,5,
,2016.6.30,中甲联赛,赛区,湖南赛区,,"球迷间发生较大范围争执，造成看台秩序混乱
多次出现燃放烟火投掷杂物",84,警告,40000,17,5,
,2016.7.5,中超俱乐部预备队联赛,赛区,河南赛区,,赛中两次出现观众投掷矿泉水瓶情况,17,通报批评,,,2,
,2016.7.19,中甲联赛,赛区,湖南赛区,,有部分主队球迷在看台殴打客队球迷,19,无观众比赛 1场,50000,17,3,
,2016.7.26,中超联赛,赛区,重庆赛区,,有球迷向场内投掷矿泉水瓶，用激光笔照射裁判员，燃放冷烟火，看台处发生小范围冲突,84,通报批评,20000,17,2,
,2016.9.13,中乙联赛,赛区,江西赛区,,个别观众在看台燃放冷烟火,84,,5000,17,3,
,2016.9.21,中甲联赛,赛区,贵州赛区,,少数观众在看台燃放冷烟火,84,警告,20000,17,3,
,2016.9.21,中乙联赛,赛区,宁夏赛区,,观众向场内投掷杂物,17,通报批评,,,4,
,2016.9.28,中国足协杯,赛区,江苏赛区,,有球迷在场内张挂侮辱性横幅标语,10 18 21,警告,40000,17,7,
,2016.10.13,中乙联赛,赛区,江西赛区,,个别观众在看台燃放冷烟火,84 48,,10000,,5,
,2016.10.28,中甲联赛,赛区,贵阳赛区,,有球迷在场内燃放冷烟火，向场内投掷矿泉水瓶，赛后大量球迷冲入场内，有个别球迷企图攻击裁判，干扰赛事秩序,19,无观众比赛 1场,90000,17,13,
,2016.11.2,中超联赛,赛区,河北石家庄赛区,,赛后有球迷在看台燃放冷烟火,84,,10000,17,3,
,2015.4.14,中超联赛,赛区,重庆赛区,,个别观众用激光笔向场内照射,16,口头警告,,,10,
,2015.4.21,中超联赛,赛区,北京赛区,,少数观众向场内投掷杂物 干扰比赛进行,18,警告,10000,17,4,
,2015.6.16,中超联赛,赛区,贵州赛区,,少数观众向场内投掷杂物,17,通报批评,,,12,
,2015.7.21,中超联赛,赛区,上海赛区,,少数观众用激光笔照射裁判员，比赛运动员及向场内投掷杂物干扰比赛进行,16,口头警告,,,6,
,2015.7.21,中甲联赛,赛区,呼和浩特赛区,,赛中赛后赛场内有球迷燃放冷烟火,83,,20000,17,9,
,2015.7.21,中甲联赛,赛区,青岛赛区,,比赛结束后赛场内有球迷燃放冷烟火,83,,10000,17,9,
,2015.7.24,中超联赛,赛区,辽宁盘锦赛区,足球字[2015]350,"球队撤离赛场时，观众近距离接近一名
客队队员，引发冲突",,通报批评,,,6,
,2015.7.28,中超联赛,赛区,贵州赛区,,赛后赛场内有球迷燃放冷烟火,83,,10000,17,2,
,2015.8.4,中甲联赛,赛区,大连赛区,,赛后赛场内有球迷燃放冷烟火,83,,20000,17,2,
,2015.8.21,中超联赛,赛区,石家庄赛区,,"比赛过程中及赛后观众，向场内投掷大量
矿泉水瓶和杂物",17,通报批评,,,6,
,2015.8.21,中超联赛,赛区,广州赛区,,赛后少数球迷向裁判组车辆投掷物品,17,通报批评,,,6,
,2015.8.21,中甲联赛,赛区,湖南赛区,,赛后赛场内有球迷燃放冷烟火,83,,20000,17,13,
,2015.8.21,中甲联赛,赛区,天津赛区,,"比赛过程中观众向场内投掷大量矿泉水瓶
干扰比赛进行",18,,10000,17,6,
,2015.8.25,中超联赛,赛区,重庆赛区,,有球迷在赛场内悬挂不文明、侮辱性横幅,83,,20000,17,2,
,2015.10.13,中超联赛,赛区,贵州赛区,,赛中少数球迷向场内投掷，矿泉水瓶等杂物，球迷燃放冷烟火，赛后 主队部分球迷围堵客队球迷看台,83,通报批评,50000,17,17,
,2015.10.13,中甲联赛,赛区,呼和浩特赛区,,个别球迷向场内投掷矿泉水瓶,17,通报批评,,,24,
,2015.10.13,中乙联赛,赛区,大连赛区,,赛后少数球迷在看台燃放冷烟火,83,,20000,17,17,
,2015.10.13,中乙联赛,赛区,丽江赛区,,"部分球迷向场内投掷矿泉水瓶
致使比赛中断约5分钟",18,警告,10000,17,38,
,2015.10.28,中甲联赛,赛区,延边赛区,,赛中部分球迷在看台燃放冷烟火,83,,20000,17,4,
,2015.11.6,中甲联赛,赛区,湖南赛区,,赛中部分球迷在看台燃放冷烟火,83 48,,40000,17,5,
,2015.11.6,中甲联赛,赛区,武汉赛区,,赛后有球迷在看台燃放冷烟火,83,,20000,17,5,
,2014.3.28,中超联赛,赛区,天津赛区,,赛后个别观众向客队运动员投掷矿泉水瓶,17,通报批评,,,5,
,2014.4.11,中超联赛,赛区,河南赛区,,赛场看台出现不文明标语， 比赛过程中多次出现用激光笔照射场内运动员等情况， 干扰比赛进行,10 17,通报批评,,,6,
,2014.4.22,中超联赛,赛区,北京赛区,,比赛过程中个别观众向场内投掷杂物,16,口头警告,,,3,
,2014.4.22,中甲联赛,赛区,青岛赛区,,赛中赛后个别观众向场内投掷矿泉水瓶,16,口头警告,,,3,
,2014.5.6,中超联赛,赛区,天津赛区,,个别观众用激光笔向场内照射,16,口头警告,,,3,
,2014.6.11,中超俱乐部精英梯队联赛,赛区,山东潍坊赛区,,安保不力，有人冲入场内攻击裁判,17,通报批评,,,3,
,2014.8.5,中甲联赛,赛区,青岛赛区,,球迷投掷矿泉水瓶击中对方主教练头部,18,警告,30000,,3,
,2014.8.19,中超联赛,赛区,哈尔滨赛区,,场地设施与安保措施不到位引发双方球迷发生冲突,18,警告,50000,17,6,
